Marca,Cor,Vendedor,Produto,Tags,Preço Original,Preço Pix,Preço Parcelado,Quantidade de Parcelas,Produto,Produto_limpo,Produto_sem_stopwords
Anacapri,Marrom,Dafiti,Rasteira Feminina Anacapri Tiras Cruzadas Marrom,"Calçados,Calçados Femininos,Rasteirinhas","R$ 129,90","R$ 99,99","R$ 106,37",1x,Rasteira Feminina Anacapri Tiras Cruzadas Marrom,rasteira feminina anacapri tiras cruzadas marrom,rasteira feminina anacapri tiras cruzadas marrom
Kolosh,Preto,Dafiti,Tênis Kolosh Logo Preto,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 229,99","R$ 119,99","R$ 127,65",2x,Tênis Kolosh Logo Preto,tenis kolosh logo preto,tenis kolosh logo preto
Arezzo,Marrom,Dafiti,Mocassim Arezzo Solado Tratorado Warm Caramel,"Calçados,Calçados Femininos,Mocassim","R$ 439,99","R$ 413,59","R$ 439,99",7x,Mocassim Arezzo Solado Tratorado Warm Caramel,mocassim arezzo solado tratorado warm caramel,mocassim arezzo solado tratorado warm caramel
Jorge Bischoff,Bege,Dafiti,Bota Feminina Jorge Bischoff Cano Baixo Bege,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 1.199,00","R$ 499,99","R$ 531,90",8x,Bota Feminina Jorge Bischoff Cano Baixo Bege,bota feminina jorge bischoff cano baixo bege,bota feminina jorge bischoff cano baixo bege
Santa Lolla,Vinho,Dafiti,Tênis Feminino Santa Lolla Cadarço Têxtil Vinho,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 299,90",,"R$ 299,90",5x,Tênis Feminino Santa Lolla Cadarço Têxtil Vinho,tenis feminino santa lolla cadarco textil vinho,tenis feminino santa lolla cadarco textil vinho
Jorge Bischoff,Nude,Dafiti,Sandália Jorge Bischoff Texturizada Snake Nude,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 599,00","R$ 219,99","R$ 234,03",3x,Sandália Jorge Bischoff Texturizada Snake Nude,sandalia jorge bischoff texturizada snake nude,sandalia jorge bischoff texturizada snake nude
VIA UNO,Rosê,Dafiti,Rasteira Feminina Via Uno Tiras Brilhantes Rosê,"Calçados,Calçados Femininos,Rasteirinhas","R$ 99,99","R$ 74,99","R$ 79,78",1x,Rasteira Feminina Via Uno Tiras Brilhantes Rosê,rasteira feminina via uno tiras brilhantes rose,rasteira feminina via uno tiras brilhantes rose
VIA UNO,Caramelo,Dafiti,Rasteira Via Uno Corrente Caramelo,"Calçados,Calçados Femininos,Rasteirinhas","R$ 89,99","R$ 59,99","R$ 63,82",1x,Rasteira Via Uno Corrente Caramelo,rasteira via uno corrente caramelo,rasteira via uno corrente caramelo
Lança Perfume,Preto,Dafiti,Bota Feminina Lança Perfume Cano Baixo S...,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 793,00","R$ 489,99","R$ 521,27",8x,Bota Feminina Lança Perfume Cano Baixo S...,bota feminina lanca perfume cano baixo s,bota feminina lanca perfume cano baixo s
Modare,Marrom,Dafiti,Sandália Feminina Modare Salto Anabela Marrom,"Calçados,Calçados Femininos,Sandálias,Sandália Anabela","R$ 169,90","R$ 109,99","R$ 117,01",1x,Sandália Feminina Modare Salto Anabela Marrom,sandalia feminina modare salto anabela marrom,sandalia feminina modare salto anabela marrom
Vizzano,Preto,Dafiti,Tênis Vizzano Liso Preto,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 119,99","R$ 54,99","R$ 58,50",1x,Tênis Vizzano Liso Preto,tenis vizzano liso preto,tenis vizzano liso preto
Vizzano,Marrom,Dafiti,Sandália Feminina Vizzano Salto Bloco Mé...,"Calçados,Calçados Femininos,Sandálias","R$ 159,90","R$ 89,99","R$ 95,73",1x,Sandália Feminina Vizzano Salto Bloco Mé...,sandalia feminina vizzano salto bloco me,sandalia feminina vizzano salto bloco
Vizzano,Preto,Dafiti,Scarpin Feminino Vizzano Salto Fino Preto,"Calçados,Calçados Femininos,Scarpin","R$ 169,90","R$ 99,99","R$ 106,37",1x,Scarpin Feminino Vizzano Salto Fino Preto,scarpin feminino vizzano salto fino preto,scarpin feminino vizzano salto fino preto
Santa Lolla,Preto,Dafiti,Tamanco Santa Lolla Liso Preta,"Calçados,Calçados Femininos,Tamanco","R$ 269,90","R$ 159,99","R$ 170,20",2x,Tamanco Santa Lolla Liso Preta,tamanco santa lolla liso preta,tamanco santa lolla liso preta
Santa Lolla,Marrom,Dafiti,Bota Feminina Santa Lolla Cano Alto Marrom,"Calçados,Calçados Femininos,Botas,Bota Cano Médio","R$ 499,90","R$ 379,99","R$ 404,24",6x,Bota Feminina Santa Lolla Cano Alto Marrom,bota feminina santa lolla cano alto marrom,bota feminina santa lolla cano alto marrom
Melissa,Marrom,Dafiti,Sandália Feminina Melissa Slide Tiras Tr...,"Calçados,Calçados Femininos,Sandálias","R$ 169,90","R$ 159,70","R$ 169,89",2x,Sandália Feminina Melissa Slide Tiras Tr...,sandalia feminina melissa slide tiras tr,sandalia feminina melissa slide tiras tr
Colcci,Preto,Dafiti,Rasteira Feminina Colcci Tiras Cruzadas Preta,"Calçados,Calçados Femininos,Rasteirinhas","R$ 189,99","R$ 109,99","R$ 117,01",1x,Rasteira Feminina Colcci Tiras Cruzadas Preta,rasteira feminina colcci tiras cruzadas preta,rasteira feminina colcci tiras cruzadas preta
Bebecê,Caramelo,Dafiti,Scarpin Feminino Bebecê Salto Quadrado B...,"Calçados,Calçados Femininos,Scarpin","R$ 129,99","R$ 99,99","R$ 106,37",1x,Scarpin Feminino Bebecê Salto Quadrado B...,scarpin feminino bebece salto quadrado b,scarpin feminino bebece salto quadrado b
Usaflex,Nude,Dafiti,Sandália Feminina Usaflex Anabela Nude,"Calçados,Calçados Femininos,Sandálias","R$ 279,99","R$ 129,99","R$ 138,29",2x,Sandália Feminina Usaflex Anabela Nude,sandalia feminina usaflex anabela nude,sandalia feminina usaflex anabela nude
Melissa,Bege,Dafiti,Rasteira Melissa Tiras Cruzadas Aberta Bege,"Calçados,Calçados Femininos,Rasteirinhas","R$ 119,90","R$ 112,70","R$ 119,89",2x,Rasteira Melissa Tiras Cruzadas Aberta Bege,rasteira melissa tiras cruzadas aberta bege,rasteira melissa tiras cruzadas aberta bege
Santa Lolla,Preto,Dafiti,Sapatilha Santa Lolla Aplicação Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 269,90","R$ 169,99","R$ 180,84",3x,Sapatilha Santa Lolla Aplicação Preta,sapatilha santa lolla aplicacao preta,sapatilha santa lolla aplicacao preta
Colcci,Branco,Dafiti,Rasteira Slide Colcci Tiras Branca,"Calçados,Calçados Femininos,Rasteirinhas","R$ 164,99","R$ 109,99","R$ 117,01",1x,Rasteira Slide Colcci Tiras Branca,rasteira slide colcci tiras branca,rasteira slide colcci tiras branca
Luiza Barcelos,Prata,Dafiti,Sandália Luiza Barcelos Salto Geométrico Prata,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 399,90","R$ 375,90","R$ 399,89",6x,Sandália Luiza Barcelos Salto Geométrico Prata,sandalia luiza barcelos salto geometrico prata,sandalia luiza barcelos salto geometrico prata
Moleca,Nude,Dafiti,Tênis Moleca Liso Nude,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 69,99","R$ 54,99","R$ 58,50",1x,Tênis Moleca Liso Nude,tenis moleca liso nude,tenis moleca liso nude
Vizzano,Preto,Dafiti,Chinelo Feminino Vizzano Dedo Preto,"Calçados,Calçados Femininos,Chinelos","R$ 99,90","R$ 64,99","R$ 69,14",1x,Chinelo Feminino Vizzano Dedo Preto,chinelo feminino vizzano dedo preto,chinelo feminino vizzano dedo preto
Via Marte,Branco,Dafiti,Tênis Feminino Via Marte Chunky Branco,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 299,99","R$ 199,99","R$ 212,76",3x,Tênis Feminino Via Marte Chunky Branco,tenis feminino via marte chunky branco,tenis feminino via marte chunky branco
Moleca,Nude,Dafiti,Tênis Feminino Moleca Slip On Nude,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 89,90","R$ 39,99","R$ 42,54",1x,Tênis Feminino Moleca Slip On Nude,tenis feminino moleca slip on nude,tenis feminino moleca slip on nude
Jorge Bischoff,Caramelo,Dafiti,Sandália Feminina Jorge Bischoff Pedrari...,"Calçados,Calçados Femininos,Rasteirinhas","R$ 449,00","R$ 229,99","R$ 244,67",4x,Sandália Feminina Jorge Bischoff Pedrari...,sandalia feminina jorge bischoff pedrari,sandalia feminina jorge bischoff pedrari
Vizzano,Bege,Dafiti,Tênis Feminino Vizzano Cadarço Bege,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 199,90","R$ 139,99","R$ 148,93",2x,Tênis Feminino Vizzano Cadarço Bege,tenis feminino vizzano cadarco bege,tenis feminino vizzano cadarco bege
Arezzo,Preto,Dafiti,Sapatilha Arezzo Matelassê Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 169,99","R$ 159,79","R$ 169,99",2x,Sapatilha Arezzo Matelassê Preta,sapatilha arezzo matelasse preta,sapatilha arezzo matelasse preta
Beira Rio,Off-white,Dafiti,Sandália Feminina Beira Rio Salto Médio ...,"Calçados,Calçados Femininos,Sandálias","R$ 129,90","R$ 104,99","R$ 111,69",1x,Sandália Feminina Beira Rio Salto Médio ...,sandalia feminina beira rio salto medio,sandalia feminina beira rio salto medio
Capodarte,Café,Dafiti,Bota Feminina Capodarte Cano Baixo Couro Café,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 590,00","R$ 409,99","R$ 436,16",7x,Bota Feminina Capodarte Cano Baixo Couro Café,bota feminina capodarte cano baixo couro cafe,bota feminina capodarte cano baixo couro cafe
Bebecê,Marrom,Dafiti,Sapato Feminino Bebecê Salto Bloco Textu...,"Calçados,Calçados Femininos,Scarpin","R$ 129,99","R$ 99,99","R$ 106,37",1x,Sapato Feminino Bebecê Salto Bloco Textu...,sapato feminino bebece salto bloco textu,sapato feminino bebece salto bloco textu
Vizzano,Marrom,Dafiti,Rasteira Feminina Vizzano Fechada Marrom,"Calçados,Calçados Femininos,Rasteirinhas","R$ 159,90","R$ 109,99","R$ 117,01",1x,Rasteira Feminina Vizzano Fechada Marrom,rasteira feminina vizzano fechada marrom,rasteira feminina vizzano fechada marrom
Moleca,Nude,Dafiti,Mule Feminino Moleca Fivela Sintético Nude,"Calçados,Calçados Femininos,Mocassim","R$ 149,99","R$ 89,99","R$ 95,73",1x,Mule Feminino Moleca Fivela Sintético Nude,mule feminino moleca fivela sintetico nude,mule feminino moleca fivela sintetico nude
Converse,Cinza,Dafiti,Tênis Converse Chuck Taylor All Star Can...,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 299,90","R$ 199,99","R$ 212,76",3x,Tênis Converse Chuck Taylor All Star Can...,tenis converse chuck taylor all star can,tenis converse chuck taylor all star can
Santa Lolla,Marrom,Dafiti,Sandália Feminina Santa Lolla Tamanco Ta...,"Calçados,Calçados Femininos,Tamanco","R$ 329,90","R$ 214,99","R$ 228,71",3x,Sandália Feminina Santa Lolla Tamanco Ta...,sandalia feminina santa lolla tamanco ta,sandalia feminina santa lolla tamanco ta
Modare,Marrom,Dafiti,Mocassim Feminino Modare Texturizado Com...,"Calçados,Calçados Femininos,Mocassim","R$ 139,90","R$ 89,99","R$ 95,73",1x,Mocassim Feminino Modare Texturizado Com...,mocassim feminino modare texturizado com,mocassim feminino modare texturizado
Jorge Bischoff,Caramelo,Dafiti,Sapatilha Jorge Bischoff de Couro Matela...,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 399,00","R$ 219,99","R$ 234,03",3x,Sapatilha Jorge Bischoff de Couro Matela...,sapatilha jorge bischoff de couro matela,sapatilha jorge bischoff couro matela
VIA UNO,Azul,Dafiti,Tênis Feminino VIA UNO Casual Azul,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 149,99","R$ 89,99","R$ 95,73",1x,Tênis Feminino VIA UNO Casual Azul,tenis feminino via uno casual azul,tenis feminino via uno casual azul
Bottero,Marrom,Dafiti,Bota Feminina Bottero Cano Médio Marrom,"Calçados,Calçados Femininos,Botas,Bota Cano Médio","R$ 549,99","R$ 389,99","R$ 414,88",6x,Bota Feminina Bottero Cano Médio Marrom,bota feminina bottero cano medio marrom,bota feminina bottero cano medio marrom
Vizzano,Bege,Dafiti,Tênis Feminino Vizzano Casual Bege,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 149,99","R$ 119,99","R$ 127,65",2x,Tênis Feminino Vizzano Casual Bege,tenis feminino vizzano casual bege,tenis feminino vizzano casual bege
Vizzano,Off-white,Dafiti,Scarpin Feminino Vizzano Salto Médio Tex...,"Calçados,Calçados Femininos,Scarpin","R$ 169,90","R$ 109,99","R$ 117,01",1x,Scarpin Feminino Vizzano Salto Médio Tex...,scarpin feminino vizzano salto medio tex,scarpin feminino vizzano salto medio tex
Modare,Marrom,Dafiti,Sandália Feminina Modare Tiras Cruzadas Marrom,"Calçados,Calçados Femininos,Rasteirinhas","R$ 129,90","R$ 99,99","R$ 106,37",1x,Sandália Feminina Modare Tiras Cruzadas Marrom,sandalia feminina modare tiras cruzadas marrom,sandalia feminina modare tiras cruzadas marrom
VIA UNO,Marrom,Dafiti,Sandália Feminina VIA UNO Salto Bloco Am...,"Calçados,Calçados Femininos,Sandálias","R$ 119,99","R$ 79,99","R$ 85,10",1x,Sandália Feminina VIA UNO Salto Bloco Am...,sandalia feminina via uno salto bloco am,sandalia feminina via uno salto bloco am
Lança Perfume,Marrom,Dafiti,Bota Feminina Lança Perfume Cano Alto Marrom,"Calçados,Calçados Femininos,Botas,Bota Montaria e Cano Longo","R$ 793,00","R$ 489,99","R$ 521,27",8x,Bota Feminina Lança Perfume Cano Alto Marrom,bota feminina lanca perfume cano alto marrom,bota feminina lanca perfume cano alto marrom
VIA UNO,Preto,Dafiti,Sandália Feminina Via Uno Salto Médio Preta,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 149,99","R$ 99,99","R$ 106,37",1x,Sandália Feminina Via Uno Salto Médio Preta,sandalia feminina via uno salto medio preta,sandalia feminina via uno salto medio preta
Via Marte,Branco,Dafiti,Tênis Feminino Via Marte Branco com Deta...,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 299,99","R$ 159,99","R$ 170,20",2x,Tênis Feminino Via Marte Branco com Deta...,tenis feminino via marte branco com deta,tenis feminino via marte branco deta
Santa Lolla,Nude,Dafiti,Sandália Feminina Santa Lolla Tiras Cruzadas Nude,"Calçados,Calçados Femininos,Sandálias","R$ 229,90","R$ 179,99","R$ 191,48",3x,Sandália Feminina Santa Lolla Tiras Cruzadas Nude,sandalia feminina santa lolla tiras cruzadas nude,sandalia feminina santa lolla tiras cruzadas nude
Anacapri,Off-white,Dafiti,Tênis Slip On Anacapri Textil Off-White,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 209,99","R$ 179,99","R$ 191,48",3x,Tênis Slip On Anacapri Textil Off-White,tenis slip on anacapri textil off white,tenis slip on anacapri textil off white
Luiza Barcelos,Dourado,Dafiti,Rasteira Feminina Luiza Barcelos Tiras M...,"Calçados,Calçados Femininos,Rasteirinhas","R$ 399,90","R$ 274,99","R$ 292,54",4x,Rasteira Feminina Luiza Barcelos Tiras M...,rasteira feminina luiza barcelos tiras m,rasteira feminina luiza barcelos tiras m
Moleca,Marrom,Dafiti,Sapatilha Feminina Moleca Laço Marrom,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 59,90","R$ 39,99","R$ 42,54",1x,Sapatilha Feminina Moleca Laço Marrom,sapatilha feminina moleca laco marrom,sapatilha feminina moleca laco marrom
Beira Rio,Nude,Dafiti,Scarpin Beira Rio Salto Grosso Nude,"Calçados,Calçados Femininos,Scarpin","R$ 139,99","R$ 99,99","R$ 106,37",1x,Scarpin Beira Rio Salto Grosso Nude,scarpin beira rio salto grosso nude,scarpin beira rio salto grosso nude
Bebecê,Bege,Dafiti,Scarpin Feminino Bebecê Slingback Salto ...,"Calçados,Calçados Femininos,Scarpin","R$ 129,99",,"R$ 129,99",2x,Scarpin Feminino Bebecê Slingback Salto ...,scarpin feminino bebece slingback salto,scarpin feminino bebece slingback salto
Beira Rio,Nude,Dafiti,Mocassim Beira Rio Bridão Nude,"Calçados,Calçados Femininos,Mocassim","R$ 119,90","R$ 89,99","R$ 95,73",1x,Mocassim Beira Rio Bridão Nude,mocassim beira rio bridao nude,mocassim beira rio bridao nude
adidas Originals,Off-white,Dafiti,Tênis Feminino adidas Originals Taekwond...,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 799,99","R$ 519,99","R$ 553,18",9x,Tênis Feminino adidas Originals Taekwond...,tenis feminino adidas originals taekwond,tenis feminino adidas originals taekwond
Vizzano,Bege,Dafiti,Rasteira Feminina Vizzano Detalhe Fivela Bege,"Calçados,Calçados Femininos,Rasteirinhas","R$ 119,90","R$ 54,99","R$ 58,50",1x,Rasteira Feminina Vizzano Detalhe Fivela Bege,rasteira feminina vizzano detalhe fivela bege,rasteira feminina vizzano detalhe fivela bege
Jorge Bischoff,Marrom,Dafiti,Sandália Feminina Jorge Bischoff Couro Marrom,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 649,00","R$ 259,99","R$ 276,59",4x,Sandália Feminina Jorge Bischoff Couro Marrom,sandalia feminina jorge bischoff couro marrom,sandalia feminina jorge bischoff couro marrom
Jorge Bischoff,Caramelo,Dafiti,Scarpin Jorge Bischoff de Couro Logo Caramelo,"Calçados,Calçados Femininos,Scarpin","R$ 589,00","R$ 289,99","R$ 308,50",5x,Scarpin Jorge Bischoff de Couro Logo Caramelo,scarpin jorge bischoff de couro logo caramelo,scarpin jorge bischoff couro logo caramelo
Jorge Bischoff,Preto,Dafiti,Sandália Feminina Jorge Bischoff Plataforma Preta,"Calçados,Calçados Femininos,Sandálias,Sandália Plataforma","R$ 499,00","R$ 239,99","R$ 255,31",4x,Sandália Feminina Jorge Bischoff Plataforma Preta,sandalia feminina jorge bischoff plataforma preta,sandalia feminina jorge bischoff plataforma preta
Via Marte,Branco,Dafiti,Tênis Feminino Via Marte Detalhes Textur...,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 279,99","R$ 219,99","R$ 234,03",3x,Tênis Feminino Via Marte Detalhes Textur...,tenis feminino via marte detalhes textur,tenis feminino via marte detalhes textur
Santa Lolla,Vinho,Dafiti,Bota Feminina Santa Lolla Cano Baixo Couro Vinho,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 349,90","R$ 269,99","R$ 287,22",4x,Bota Feminina Santa Lolla Cano Baixo Couro Vinho,bota feminina santa lolla cano baixo couro vinho,bota feminina santa lolla cano baixo couro vinho
Modare,Off-white,Dafiti,Tênis Feminino Modare Slip On Knit Off-White,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 199,90","R$ 99,99","R$ 106,37",1x,Tênis Feminino Modare Slip On Knit Off-White,tenis feminino modare slip on knit off white,tenis feminino modare slip on knit off white
Coca Cola,Off-white,Dafiti,Tênis Flatform Coca Cola Lona Off-White,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 219,90","R$ 89,99","R$ 95,73",1x,Tênis Flatform Coca Cola Lona Off-White,tenis flatform coca cola lona off white,tenis flatform coca cola lona off white
Luiza Barcelos,Caramelo,Dafiti,Bota Feminina Luiza Barcelos Cano Alto S...,"Calçados,Calçados Femininos,Botas,Bota Montaria e Cano Longo","R$ 1.499,90","R$ 759,99","R$ 808,50",10x,Bota Feminina Luiza Barcelos Cano Alto S...,bota feminina luiza barcelos cano alto s,bota feminina luiza barcelos cano alto s
Modare,Caramelo,Dafiti,Tênis Modare Zíper Recortes Caramelo,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 239,90","R$ 159,99","R$ 170,20",2x,Tênis Modare Zíper Recortes Caramelo,tenis modare ziper recortes caramelo,tenis modare ziper recortes caramelo
VIA UNO,Preto,Dafiti,Bota Feminina VIA UNO Couro Cano Baixo S...,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 239,99","R$ 179,99","R$ 191,48",3x,Bota Feminina VIA UNO Couro Cano Baixo S...,bota feminina via uno couro cano baixo s,bota feminina via uno couro cano baixo s
Modare,Off-white,Dafiti,Tênis Modare Recorte Off-White,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 149,99","R$ 119,99","R$ 127,65",2x,Tênis Modare Recorte Off-White,tenis modare recorte off white,tenis modare recorte off white
Asics,Cinza,Dafiti,Tênis Feminino Asics Gel Nyc Cinza,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 999,99","R$ 939,98","R$ 999,98",10x,Tênis Feminino Asics Gel Nyc Cinza,tenis feminino asics gel nyc cinza,tenis feminino asics gel nyc cinza
VIA UNO,Dourado,Dafiti,Sandália Feminina Via Uno Salto Anabela Dourada,"Calçados,Calçados Femininos,Tamanco","R$ 139,99","R$ 99,99","R$ 106,37",1x,Sandália Feminina Via Uno Salto Anabela Dourada,sandalia feminina via uno salto anabela dourada,sandalia feminina via uno salto anabela dourada
Santa Lolla,Prata,Dafiti,Rasteira Santa Lolla Com Necessaire Prata,"Calçados,Calçados Femininos,Rasteirinhas","R$ 169,90","R$ 119,99","R$ 127,65",2x,Rasteira Santa Lolla Com Necessaire Prata,rasteira santa lolla com necessaire prata,rasteira santa lolla necessaire prata
Dakota,Preto,Dafiti,Bota Coturno Dakota Cano Curto Preta,"Calçados,Calçados Femininos,Botas,Coturno e Biker","R$ 289,99","R$ 179,99","R$ 191,48",3x,Bota Coturno Dakota Cano Curto Preta,bota coturno dakota cano curto preta,bota coturno dakota cano curto preta
Luiza Barcelos,Dourado,Dafiti,Tamanco Luiza Barcelos Metalizado Dourada,"Calçados,Calçados Femininos,Tamanco","R$ 559,90","R$ 299,99","R$ 319,14",5x,Tamanco Luiza Barcelos Metalizado Dourada,tamanco luiza barcelos metalizado dourada,tamanco luiza barcelos metalizado dourada
Luiza Barcelos,Marrom,Dafiti,Bota Feminina Luiza Barcelos Cano Baixo ...,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 999,90","R$ 939,90","R$ 999,89",10x,Bota Feminina Luiza Barcelos Cano Baixo ...,bota feminina luiza barcelos cano baixo,bota feminina luiza barcelos cano baixo
Capodarte,Preto,Dafiti,Scarpin Baixo Feminino Capodarte Salto Bloco Preto,"Calçados,Calçados Femininos,Scarpin","R$ 660,00","R$ 309,99","R$ 329,78",5x,Scarpin Baixo Feminino Capodarte Salto Bloco Preto,scarpin baixo feminino capodarte salto bloco preto,scarpin baixo feminino capodarte salto bloco preto
New Balance,Marrom,Dafiti,Tênis Unissex New Balance 480 Low Marrom,"Calçados,Calçados Femininos,Tênis,Tênis Casual,Calçados Masculinos,Tênis,Tênis Casual","R$ 549,99","R$ 469,99","R$ 499,99",8x,Tênis Unissex New Balance 480 Low Marrom,tenis unissex new balance 480 low marrom,tenis unissex new balance 480 low marrom
Arezzo,Nude,Dafiti,Scarpin Médio Arezzo Slingback True Sand,"Calçados,Calçados Femininos,Scarpin","R$ 379,99","R$ 357,19","R$ 379,99",6x,Scarpin Médio Arezzo Slingback True Sand,scarpin medio arezzo slingback true sand,scarpin medio arezzo slingback true sand
Bottero,Caramelo,Dafiti,Rasteira Feminina Bottero Tiras Cruzadas Caramelo,"Calçados,Calçados Femininos,Rasteirinhas","R$ 199,99","R$ 109,99","R$ 117,01",1x,Rasteira Feminina Bottero Tiras Cruzadas Caramelo,rasteira feminina bottero tiras cruzadas caramelo,rasteira feminina bottero tiras cruzadas caramelo
Bottero,Marrom,Dafiti,Mocassim Feminino Bottero Laço Marrom,"Calçados,Calçados Femininos,Mocassim","R$ 279,99","R$ 179,99","R$ 191,48",3x,Mocassim Feminino Bottero Laço Marrom,mocassim feminino bottero laco marrom,mocassim feminino bottero laco marrom
Santa Lolla,Bege,Dafiti,Rasteira Feminina Santa Lolla Tachas Bege,"Calçados,Calçados Femininos,Rasteirinhas","R$ 269,90","R$ 189,99","R$ 202,12",3x,Rasteira Feminina Santa Lolla Tachas Bege,rasteira feminina santa lolla tachas bege,rasteira feminina santa lolla tachas bege
Beira Rio,Marrom,Dafiti,Sandália Feminina Beira Rio Anabela Marrom,"Calçados,Calçados Femininos,Sandálias,Sandália Anabela","R$ 139,99","R$ 99,99","R$ 106,37",1x,Sandália Feminina Beira Rio Anabela Marrom,sandalia feminina beira rio anabela marrom,sandalia feminina beira rio anabela marrom
Arezzo,Preto,Dafiti,Sandália Baixa Arezzo Tiras Entrelaçada...,"Calçados,Calçados Femininos,Sandálias","R$ 279,99","R$ 263,19","R$ 279,99",4x,Sandália Baixa Arezzo Tiras Entrelaçada...,sandalia baixa arezzo tiras entrelacada,sandalia baixa arezzo tiras entrelacada
Santa Lolla,Marrom,Dafiti,Bota Feminina Santa Lolla Cano Baixo Couro Marrom,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 449,90",,"R$ 449,90",7x,Bota Feminina Santa Lolla Cano Baixo Couro Marrom,bota feminina santa lolla cano baixo couro marrom,bota feminina santa lolla cano baixo couro marrom
Moleca,Preto,Dafiti,Sandália Clog  Moleca Plataforma Preta,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 139,99","R$ 89,99","R$ 95,73",1x,Sandália Clog  Moleca Plataforma Preta,sandalia clog moleca plataforma preta,sandalia clog moleca plataforma preta
Ramarim,Off-white,Dafiti,Tênis Ramarim Recorte Suede Off-White,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 259,90","R$ 129,99","R$ 138,29",2x,Tênis Ramarim Recorte Suede Off-White,tenis ramarim recorte suede off white,tenis ramarim recorte suede off white
Moleca,Bronze,Dafiti,Rasteira Feminina Moleca Fechada Metalizada Bronze,"Calçados,Calçados Femininos,Rasteirinhas","R$ 89,90","R$ 64,99","R$ 69,14",1x,Rasteira Feminina Moleca Fechada Metalizada Bronze,rasteira feminina moleca fechada metalizada bronze,rasteira feminina moleca fechada metalizada bronze
Modare,Preto,Dafiti,Mocassim Feminino Modare Detalhe Corrente Preto,"Calçados,Calçados Femininos,Mocassim","R$ 169,99","R$ 99,99","R$ 106,37",1x,Mocassim Feminino Modare Detalhe Corrente Preto,mocassim feminino modare detalhe corrente preto,mocassim feminino modare detalhe corrente preto
VIA UNO,Caramelo,Dafiti,Mocassim Feminino Via Uno Marrom,"Calçados,Calçados Femininos,Mocassim","R$ 129,99","R$ 94,99","R$ 101,05",1x,Mocassim Feminino Via Uno Marrom,mocassim feminino via uno marrom,mocassim feminino via uno marrom
Santa Lolla,Preto,Dafiti,Scarpin Feminino Santa Lolla Couro Salto...,"Calçados,Calçados Femininos,Scarpin","R$ 269,90",,"R$ 269,90",4x,Scarpin Feminino Santa Lolla Couro Salto...,scarpin feminino santa lolla couro salto,scarpin feminino santa lolla couro salto
Bottero,Nude,Dafiti,Sandália Feminina Bottero Salto Anabela Nude,"Calçados,Calçados Femininos,Sandálias,Sandália Anabela","R$ 279,99","R$ 209,99","R$ 223,39",3x,Sandália Feminina Bottero Salto Anabela Nude,sandalia feminina bottero salto anabela nude,sandalia feminina bottero salto anabela nude
Jorge Bischoff,Vinho,Dafiti,Sapatilha Feminina Jorge Bischoff Laço Vinho,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 469,00","R$ 219,99","R$ 234,03",3x,Sapatilha Feminina Jorge Bischoff Laço Vinho,sapatilha feminina jorge bischoff laco vinho,sapatilha feminina jorge bischoff laco vinho
